SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_7,adm2_9,adm2_3,adm2_6,adm2_8,adm2_1,adm2_4,adm2_10,adm2_5,adm2_2
44,11566,1,21,8,1994,0,7,1,0,0,0,0,0,0,0,0,0
65,5737,1,58,9,2204,0,9,0,1,0,0,0,0,0,0,0,0
100,10449,1,25,18,2356,0,3,0,0,1,0,0,0,0,0,0,0
141,1029,1,60,24,1483,0,6,0,0,0,1,0,0,0,0,0,0
164,10142,1,65,19,742,0,8,0,0,0,0,1,0,0,0,0,0
199,10493,1,65,8,2413,0,7,1,0,0,0,0,0,0,0,0,0
263,4882,1,55,22,1900,0,3,0,0,1,0,0,0,0,0,0,0
352,6504,1,18,10,1848,0,3,0,0,1,0,0,0,0,0,0,0
396,10541,1,50,9,2277,0,9,0,1,0,0,0,0,0,0,0,0
497,8890,1,48,1,1603,1,9,0,1,0,0,0,0,0,0,0,0
517,2139,1,22,1,2863,1,6,0,0,0,1,0,0,0,0,0,0
523,3367,1,23,20,2743,0,1,0,0,0,0,0,1,0,0,0,0
549,4066,1,30,4,3552,0,1,0,0,0,0,0,1,0,0,0,0
570,8256,1,50,26,2285,0,4,0,0,0,0,0,0,1,0,0,0
576,3784,1,21,2,3115,0,8,0,0,0,0,1,0,0,0,0,0
597,7013,1,24,7,1445,1,7,1,0,0,0,0,0,0,0,0,0
607,6151,1,32,29,2523,0,6,0,0,0,1,0,0,0,0,0,0
667,3784,1,49,2,3599,0,8,0,0,0,0,1,0,0,0,0,0
693,7013,1,45,7,2014,1,7,1,0,0,0,0,0,0,0,0,0
701,6046,1,38,28,3113,0,1,0,0,0,0,0,1,0,0,0,0
733,2209,1,22,4,1399,0,10,0,0,0,0,0,0,0,1,0,0
738,8762,1,42,30,2188,0,5,0,0,0,0,0,0,0,0,1,0
858,4117,1,40,9,2255,0,9,0,1,0,0,0,0,0,0,0,0
890,8592,1,35,8,3000,0,10,0,0,0,0,0,0,0,1,0,0
962,2716,1,24,26,1714,0,4,0,0,0,0,0,0,1,0,0,0
968,4282,1,35,12,1714,0,7,1,0,0,0,0,0,0,0,0,0
1108,206,1,76,8,2192,0,10,0,0,0,0,0,0,0,1,0,0
1139,5556,1,34,10,1808,0,8,0,0,0,0,1,0,0,0,0,0
1148,5072,1,40,21,1734,0,10,0,0,0,0,0,0,0,1,0,0
1179,9297,1,28,7,3274,1,3,0,0,1,0,0,0,0,0,0,0
1229,11497,1,68,23,1510,0,7,1,0,0,0,0,0,0,0,0,0
1243,4677,1,24,2,2565,0,8,0,0,0,0,1,0,0,0,0,0
1246,10842,1,26,7,2147,1,5,0,0,0,0,0,0,0,0,1,0
1247,8425,1,55,21,1081,0,8,0,0,0,0,1,0,0,0,0,0
1260,1592,1,66,31,2769,0,8,0,0,0,0,1,0,0,0,0,0
1263,1425,1,55,23,1898,0,8,0,0,0,0,1,0,0,0,0,0
1287,11081,1,60,22,2018,0,1,0,0,0,0,0,1,0,0,0,0
1310,4788,1,50,12,2066,0,7,1,0,0,0,0,0,0,0,0,0
1319,7988,1,28,30,2374,0,5,0,0,0,0,0,0,0,0,1,0
1357,1420,1,65,24,2667,0,6,0,0,0,1,0,0,0,0,0,0
1362,4911,1,35,6,1664,0,3,0,0,1,0,0,0,0,0,0,0
1368,9411,1,42,16,1389,0,3,0,0,1,0,0,0,0,0,0,0
1423,8069,1,70,8,2833,0,7,1,0,0,0,0,0,0,0,0,0
1441,126,1,24,26,1924,0,1,0,0,0,0,0,1,0,0,0,0
1444,7549,1,60,19,1382,0,10,0,0,0,0,0,0,0,1,0,0
1449,10230,1,52,7,1306,1,9,0,1,0,0,0,0,0,0,0,0
1478,10230,1,32,7,976,1,9,0,1,0,0,0,0,0,0,0,0
1519,7267,1,22,14,1414,0,4,0,0,0,0,0,0,1,0,0,0
1522,5084,1,60,2,2094,0,2,0,0,0,0,0,0,0,0,0,1
1548,2540,1,27,3,1731,0,9,0,1,0,0,0,0,0,0,0,0
1573,10547,1,42,14,1972,0,7,1,0,0,0,0,0,0,0,0,0
1623,7504,1,30,23,932,0,8,0,0,0,0,1,0,0,0,0,0
1632,2977,1,27,6,2537,0,8,0,0,0,0,1,0,0,0,0,0
1763,3156,1,20,15,1194,0,3,0,0,1,0,0,0,0,0,0,0
1778,8934,1,26,22,1369,0,4,0,0,0,0,0,0,1,0,0,0
1794,10099,1,32,17,2185,0,3,0,0,1,0,0,0,0,0,0,0
1797,8283,1,47,24,1497,0,1,0,0,0,0,0,1,0,0,0,0
1814,7173,1,35,8,1851,0,4,0,0,0,0,0,0,1,0,0,0
1819,8441,1,54,8,1765,0,4,0,0,0,0,0,0,1,0,0,0
1820,7861,1,44,19,2698,0,8,0,0,0,0,1,0,0,0,0,0
1885,8094,1,45,28,2081,0,1,0,0,0,0,0,1,0,0,0,0
1890,8235,1,28,8,2057,0,10,0,0,0,0,0,0,0,1,0,0
1896,10263,1,40,5,2051,0,5,0,0,0,0,0,0,0,0,1,0
1975,6950,1,50,15,2171,0,10,0,0,0,0,0,0,0,1,0,0
1982,8999,1,28,17,1775,0,1,0,0,0,0,0,1,0,0,0,0
2017,10292,1,25,2,2633,0,2,0,0,0,0,0,0,0,0,0,1
2046,10909,1,38,3,89,0,2,0,0,0,0,0,0,0,0,0,1
2104,609,1,45,14,2180,0,7,1,0,0,0,0,0,0,0,0,0
2122,5071,1,18,4,1947,0,1,0,0,0,0,0,1,0,0,0,0
2144,9796,1,74,12,2722,0,5,0,0,0,0,0,0,0,0,1,0
2162,2041,1,24,20,2660,0,3,0,0,1,0,0,0,0,0,0,0
2235,2740,1,42,26,1404,0,2,0,0,0,0,0,0,0,0,0,1
2285,5229,1,50,24,1899,0,6,0,0,0,1,0,0,0,0,0,0
2305,7524,1,35,18,2271,0,3,0,0,1,0,0,0,0,0,0,0
2323,11309,1,39,11,1791,0,5,0,0,0,0,0,0,0,0,1,0
2337,7362,1,30,1,2206,1,6,0,0,0,1,0,0,0,0,0,0
2376,10959,1,30,7,1421,1,5,0,0,0,0,0,0,0,0,1,0
2390,6002,1,50,6,1899,0,7,1,0,0,0,0,0,0,0,0,0
2479,8805,1,70,24,3084,0,4,0,0,0,0,0,0,1,0,0,0
2487,214,1,65,17,2606,0,8,0,0,0,0,1,0,0,0,0,0
2499,10650,1,32,5,1258,0,1,0,0,0,0,0,1,0,0,0,0
2577,5964,1,37,3,2325,0,9,0,1,0,0,0,0,0,0,0,0
2588,4089,1,35,4,2251,0,3,0,0,1,0,0,0,0,0,0,0
2605,3173,1,28,3,2015,0,2,0,0,0,0,0,0,0,0,0,1
2619,3280,1,41,4,1482,0,10,0,0,0,0,0,0,0,1,0,0
2682,7452,1,23,4,2685,0,2,0,0,0,0,0,0,0,0,0,1
2692,4800,1,50,31,2837,0,8,0,0,0,0,1,0,0,0,0,0
2720,10853,1,50,1,2031,1,5,0,0,0,0,0,0,0,0,1,0
2737,3178,1,47,7,1721,1,1,0,0,0,0,0,1,0,0,0,0
2801,8359,1,25,1,2387,1,5,0,0,0,0,0,0,0,0,1,0
2869,7028,1,25,6,1855,0,7,1,0,0,0,0,0,0,0,0,0
2907,713,1,65,4,2738,0,3,0,0,1,0,0,0,0,0,0,0
2919,4779,1,53,9,2360,0,9,0,1,0,0,0,0,0,0,0,0
2970,2376,1,45,1,3130,1,6,0,0,0,1,0,0,0,0,0,0
3015,390,1,19,20,2403,0,7,1,0,0,0,0,0,0,0,0,0
3094,964,1,30,17,3729,0,1,0,0,0,0,0,1,0,0,0,0
3096,8433,1,65,8,3097,0,2,0,0,0,0,0,0,0,0,0,1
3150,9995,1,52,21,2003,0,10,0,0,0,0,0,0,0,1,0,0
3237,9601,1,45,14,1567,0,4,0,0,0,0,0,0,1,0,0,0
3260,1968,1,42,2,3420,0,8,0,0,0,0,1,0,0,0,0,0
3303,4779,1,27,9,2360,0,9,0,1,0,0,0,0,0,0,0,0
3334,6362,1,30,11,2508,0,9,0,1,0,0,0,0,0,0,0,0
3355,2078,1,21,8,1942,0,10,0,0,0,0,0,0,0,1,0,0
3416,7160,1,45,6,3264,0,1,0,0,0,0,0,1,0,0,0,0
3434,2471,1,24,18,2760,0,7,1,0,0,0,0,0,0,0,0,0
3442,1862,1,39,17,2108,0,3,0,0,1,0,0,0,0,0,0,0
3446,8251,1,21,25,1603,0,10,0,0,0,0,0,0,0,1,0,0
3491,1428,1,63,24,2205,0,4,0,0,0,0,0,0,1,0,0,0
3511,4769,1,70,12,2001,0,5,0,0,0,0,0,0,0,0,1,0
3536,5177,1,26,18,1898,0,7,1,0,0,0,0,0,0,0,0,0
3555,7860,1,42,8,2133,0,7,1,0,0,0,0,0,0,0,0,0
3593,5787,1,47,29,3126,0,5,0,0,0,0,0,0,0,0,1,0
3599,9800,1,55,5,2782,0,7,1,0,0,0,0,0,0,0,0,0
3656,1880,1,40,4,2944,0,1,0,0,0,0,0,1,0,0,0,0
3681,7741,1,65,9,1487,0,4,0,0,0,0,0,0,1,0,0,0
3798,11037,1,31,29,1798,0,5,0,0,0,0,0,0,0,0,1,0
3817,5219,1,27,4,1971,0,7,1,0,0,0,0,0,0,0,0,0
3858,2389,1,39,6,2136,0,10,0,0,0,0,0,0,0,1,0,0
3902,9714,1,45,28,2345,0,5,0,0,0,0,0,0,0,0,1,0
3925,9019,1,35,15,2357,0,3,0,0,1,0,0,0,0,0,0,0
3989,8985,1,27,6,2686,0,2,0,0,0,0,0,0,0,0,0,1
4033,11604,1,47,24,1654,0,4,0,0,0,0,0,0,1,0,0,0
4065,5238,1,19,16,1142,0,7,1,0,0,0,0,0,0,0,0,0
4104,10941,1,65,21,1624,0,8,0,0,0,0,1,0,0,0,0,0
4145,10345,1,39,10,1963,0,7,1,0,0,0,0,0,0,0,0,0
4171,206,1,39,8,2675,0,10,0,0,0,0,0,0,0,1,0,0
4254,6362,1,28,11,1969,0,9,0,1,0,0,0,0,0,0,0,0
4261,3657,1,21,2,2304,0,2,0,0,0,0,0,0,0,0,0,1
4262,8805,1,40,24,3465,0,4,0,0,0,0,0,0,1,0,0,0
4324,9280,1,50,9,2019,0,5,0,0,0,0,0,0,0,0,1,0
4456,1591,1,35,9,2935,0,9,0,1,0,0,0,0,0,0,0,0
4472,1833,1,26,16,2344,0,7,1,0,0,0,0,0,0,0,0,0
4505,8907,1,28,6,1615,0,7,1,0,0,0,0,0,0,0,0,0
4592,5221,1,19,6,1350,0,2,0,0,0,0,0,0,0,0,0,1
4605,11680,1,50,15,2263,0,3,0,0,1,0,0,0,0,0,0,0
4646,4869,1,36,3,2445,0,6,0,0,0,1,0,0,0,0,0,0
4652,3850,1,30,7,2175,1,3,0,0,1,0,0,0,0,0,0,0
4662,9581,1,38,23,272,0,1,0,0,0,0,0,1,0,0,0,0
4676,1300,1,40,3,1126,0,2,0,0,0,0,0,0,0,0,0,1
4696,2192,1,50,28,1641,0,5,0,0,0,0,0,0,0,0,1,0
4758,6621,1,73,4,2062,0,10,0,0,0,0,0,0,0,1,0,0
4814,7274,1,30,29,2295,0,5,0,0,0,0,0,0,0,0,1,0
4828,9964,1,50,10,2007,0,3,0,0,1,0,0,0,0,0,0,0
4833,10861,1,40,22,2076,0,3,0,0,1,0,0,0,0,0,0,0
4852,11192,1,51,16,2070,0,3,0,0,1,0,0,0,0,0,0,0
4863,1728,1,24,19,1626,0,1,0,0,0,0,0,1,0,0,0,0
4865,2045,1,60,4,2975,0,1,0,0,0,0,0,1,0,0,0,0
4875,6774,1,26,21,1938,0,3,0,0,1,0,0,0,0,0,0,0
4885,8249,1,60,30,1928,0,5,0,0,0,0,0,0,0,0,1,0
4929,91,1,37,22,1794,0,1,0,0,0,0,0,1,0,0,0,0
4931,7827,1,18,12,1630,0,7,1,0,0,0,0,0,0,0,0,0
5011,8316,1,28,31,2236,0,5,0,0,0,0,0,0,0,0,1,0
5080,1117,1,58,25,2528,0,10,0,0,0,0,0,0,0,1,0,0
5084,2930,1,22,12,1298,0,9,0,1,0,0,0,0,0,0,0,0
5088,10132,1,24,24,1313,0,5,0,0,0,0,0,0,0,0,1,0
5112,10774,1,48,6,2369,0,3,0,0,1,0,0,0,0,0,0,0
5125,6033,1,36,28,1954,0,5,0,0,0,0,0,0,0,0,1,0
5159,4341,1,38,24,2469,0,7,1,0,0,0,0,0,0,0,0,0
5184,1445,1,69,23,969,0,1,0,0,0,0,0,1,0,0,0,0
5199,11161,1,36,30,4165,0,2,0,0,0,0,0,0,0,0,0,1
5215,10791,1,28,4,2247,0,8,0,0,0,0,1,0,0,0,0,0
5226,4122,1,30,31,1960,0,8,0,0,0,0,1,0,0,0,0,0
5231,10653,1,26,29,3196,0,6,0,0,0,1,0,0,0,0,0,0
5237,10959,1,52,7,1601,1,5,0,0,0,0,0,0,0,0,1,0
5272,8697,1,26,19,2844,0,8,0,0,0,0,1,0,0,0,0,0
5290,3880,1,33,8,2471,0,7,1,0,0,0,0,0,0,0,0,0
5294,7581,1,40,8,2392,0,7,1,0,0,0,0,0,0,0,0,0
5349,8987,1,60,23,2015,0,8,0,0,0,0,1,0,0,0,0,0
5411,7260,1,25,20,1794,0,7,1,0,0,0,0,0,0,0,0,0
5414,5943,1,20,16,1874,0,10,0,0,0,0,0,0,0,1,0,0
5484,4359,1,46,30,2141,0,5,0,0,0,0,0,0,0,0,1,0
5548,3610,1,30,14,2207,0,4,0,0,0,0,0,0,1,0,0,0
5653,3657,1,52,2,1216,0,2,0,0,0,0,0,0,0,0,0,1
5673,9490,1,26,31,1935,0,5,0,0,0,0,0,0,0,0,1,0
5699,6430,1,72,11,1338,0,5,0,0,0,0,0,0,0,0,1,0
5730,2462,1,18,17,593,0,10,0,0,0,0,0,0,0,1,0,0
5735,6693,1,40,24,1694,0,7,1,0,0,0,0,0,0,0,0,0
5773,2013,1,35,4,1646,0,7,1,0,0,0,0,0,0,0,0,0
5801,8441,1,22,8,1442,0,4,0,0,0,0,0,0,1,0,0,0
5810,3216,1,18,26,2835,0,1,0,0,0,0,0,1,0,0,0,0
5819,9630,1,50,10,2456,0,8,0,0,0,0,1,0,0,0,0,0
5863,6842,1,18,3,1904,0,6,0,0,0,1,0,0,0,0,0,0
5901,6308,1,55,29,2354,0,6,0,0,0,1,0,0,0,0,0,0
5907,814,1,26,5,1339,0,9,0,1,0,0,0,0,0,0,0,0
5992,719,1,37,22,1573,0,4,0,0,0,0,0,0,1,0,0,0
6059,7674,1,60,13,2304,0,9,0,1,0,0,0,0,0,0,0,0
6086,9274,1,30,30,3520,0,2,0,0,0,0,0,0,0,0,0,1
6093,7401,1,42,17,2443,0,8,0,0,0,0,1,0,0,0,0,0
6130,8359,1,50,1,2157,1,5,0,0,0,0,0,0,0,0,1,0
6133,7412,1,42,18,1485,0,10,0,0,0,0,0,0,0,1,0,0
6138,7959,1,38,15,1854,0,3,0,0,1,0,0,0,0,0,0,0
6193,1078,1,26,17,1185,0,3,0,0,1,0,0,0,0,0,0,0
6200,1287,1,21,25,1505,0,8,0,0,0,0,1,0,0,0,0,0
6221,1714,1,36,12,2390,0,10,0,0,0,0,0,0,0,1,0,0
6249,11742,1,22,7,1675,1,3,0,0,1,0,0,0,0,0,0,0
6282,10550,1,21,1,1322,1,2,0,0,0,0,0,0,0,0,0,1
6303,3646,1,27,2,1867,0,2,0,0,0,0,0,0,0,0,0,1
6329,2484,1,60,15,686,0,3,0,0,1,0,0,0,0,0,0,0
6362,5494,1,33,16,1130,0,10,0,0,0,0,0,0,0,1,0,0
6365,4793,1,38,31,2575,0,5,0,0,0,0,0,0,0,0,1,0
6371,2931,1,42,23,1813,0,10,0,0,0,0,0,0,0,1,0,0
6375,2057,1,30,6,1611,0,1,0,0,0,0,0,1,0,0,0,0
6453,9626,1,28,17,2074,0,3,0,0,1,0,0,0,0,0,0,0
6461,9867,1,35,8,2457,0,4,0,0,0,0,0,0,1,0,0,0
6498,10727,1,19,17,1569,0,3,0,0,1,0,0,0,0,0,0,0
6518,1374,1,45,18,2150,0,7,1,0,0,0,0,0,0,0,0,0
6561,1021,1,19,12,1664,0,10,0,0,0,0,0,0,0,1,0,0
6563,2982,1,18,11,1372,0,5,0,0,0,0,0,0,0,0,1,0
6570,1776,1,56,9,1179,0,5,0,0,0,0,0,0,0,0,1,0
6637,10005,1,65,10,1451,0,10,0,0,0,0,0,0,0,1,0,0
6690,1880,1,21,4,2220,0,1,0,0,0,0,0,1,0,0,0,0
6704,4956,1,58,4,3128,0,3,0,0,1,0,0,0,0,0,0,0
6745,7555,1,40,9,1849,0,1,0,0,0,0,0,1,0,0,0,0
6759,8405,1,60,17,1901,0,1,0,0,0,0,0,1,0,0,0,0
6786,472,1,45,10,2390,0,7,1,0,0,0,0,0,0,0,0,0
6791,3880,1,55,8,2030,0,7,1,0,0,0,0,0,0,0,0,0
6817,2470,1,40,17,2480,0,8,0,0,0,0,1,0,0,0,0,0
6853,11790,1,19,11,1825,0,5,0,0,0,0,0,0,0,0,1,0
6858,891,1,60,6,2634,0,1,0,0,0,0,0,1,0,0,0,0
6942,283,1,40,23,2225,0,7,1,0,0,0,0,0,0,0,0,0
7011,11626,1,22,10,2257,0,2,0,0,0,0,0,0,0,0,0,1
7015,10020,1,40,22,2291,0,3,0,0,1,0,0,0,0,0,0,0
7055,7321,1,50,2,3036,0,2,0,0,0,0,0,0,0,0,0,1
7086,6271,1,35,1,2741,1,6,0,0,0,1,0,0,0,0,0,0
7106,6236,1,60,26,2110,0,4,0,0,0,0,0,0,1,0,0,0
7152,4156,1,30,14,1646,0,7,1,0,0,0,0,0,0,0,0,0
7178,3548,1,31,1,3350,1,6,0,0,0,1,0,0,0,0,0,0
7184,4677,1,21,2,2364,0,8,0,0,0,0,1,0,0,0,0,0
7226,5966,1,66,22,1139,0,1,0,0,0,0,0,1,0,0,0,0
7231,424,1,45,8,2789,0,2,0,0,0,0,0,0,0,0,0,1
7247,9166,1,21,24,1045,0,4,0,0,0,0,0,0,1,0,0,0
7272,3592,1,36,7,1951,1,5,0,0,0,0,0,0,0,0,1,0
7284,9957,1,22,19,1844,0,8,0,0,0,0,1,0,0,0,0,0
7354,697,1,38,8,2220,0,10,0,0,0,0,0,0,0,1,0,0
7385,1478,1,28,6,2751,0,1,0,0,0,0,0,1,0,0,0,0
7412,11564,1,32,19,1608,0,10,0,0,0,0,0,0,0,1,0,0
7413,1814,1,38,3,2583,0,6,0,0,0,1,0,0,0,0,0,0
7433,3480,1,37,12,2035,0,7,1,0,0,0,0,0,0,0,0,0
7476,7384,1,58,6,1762,0,1,0,0,0,0,0,1,0,0,0,0
7483,4623,1,50,19,2779,0,1,0,0,0,0,0,1,0,0,0,0
7500,3596,1,18,23,2822,0,7,1,0,0,0,0,0,0,0,0,0
7533,5206,1,24,4,3194,0,8,0,0,0,0,1,0,0,0,0,0
7540,7224,1,52,26,1643,0,4,0,0,0,0,0,0,1,0,0,0
7567,8069,1,36,8,2701,0,7,1,0,0,0,0,0,0,0,0,0
7576,4901,1,61,20,1352,0,6,0,0,0,1,0,0,0,0,0,0
7578,4108,1,45,29,2372,0,5,0,0,0,0,0,0,0,0,1,0
7643,11537,1,58,19,1763,0,8,0,0,0,0,1,0,0,0,0,0
7688,10402,1,40,16,1189,0,3,0,0,1,0,0,0,0,0,0,0
7692,3576,1,38,9,1517,0,5,0,0,0,0,0,0,0,0,1,0
7706,7104,1,25,1,2112,1,5,0,0,0,0,0,0,0,0,1,0
7728,5177,1,58,18,1796,0,7,1,0,0,0,0,0,0,0,0,0
7741,3548,1,25,1,3196,1,6,0,0,0,1,0,0,0,0,0,0
7776,5649,1,28,14,1432,0,3,0,0,1,0,0,0,0,0,0,0
7820,10930,1,23,12,1548,0,10,0,0,0,0,0,0,0,1,0,0
7898,8586,1,50,30,1725,0,2,0,0,0,0,0,0,0,0,0,1
7899,9166,1,54,24,2149,0,4,0,0,0,0,0,0,1,0,0,0
7927,6301,1,55,18,2347,0,7,1,0,0,0,0,0,0,0,0,0
8042,1288,1,40,17,1734,0,3,0,0,1,0,0,0,0,0,0,0
8168,9613,1,19,3,367,0,2,0,0,0,0,0,0,0,0,0,1
8177,3352,1,30,14,2219,0,7,1,0,0,0,0,0,0,0,0,0
8265,9759,1,19,17,2219,0,8,0,0,0,0,1,0,0,0,0,0
8273,9467,1,43,15,2272,0,10,0,0,0,0,0,0,0,1,0,0
8337,5069,1,36,28,1611,0,5,0,0,0,0,0,0,0,0,1,0
8380,5093,1,50,10,1761,0,10,0,0,0,0,0,0,0,1,0,0
8384,4788,1,19,12,1822,0,7,1,0,0,0,0,0,0,0,0,0
8406,615,1,41,12,2256,0,7,1,0,0,0,0,0,0,0,0,0
8434,2209,1,52,4,1458,0,10,0,0,0,0,0,0,0,1,0,0
8479,7224,1,28,26,1701,0,4,0,0,0,0,0,0,1,0,0,0
8497,1244,1,50,23,1950,0,8,0,0,0,0,1,0,0,0,0,0
8503,8964,1,30,28,2093,0,5,0,0,0,0,0,0,0,0,1,0
8506,11120,1,46,10,3470,0,8,0,0,0,0,1,0,0,0,0,0
8534,6380,1,35,23,1856,0,10,0,0,0,0,0,0,0,1,0,0
8556,3178,1,19,7,1778,1,1,0,0,0,0,0,1,0,0,0,0
8567,3634,1,48,29,2060,0,5,0,0,0,0,0,0,0,0,1,0
8578,3452,1,27,8,3087,0,8,0,0,0,0,1,0,0,0,0,0
8579,2370,1,21,20,2158,0,7,1,0,0,0,0,0,0,0,0,0
8633,8263,1,30,14,1862,0,3,0,0,1,0,0,0,0,0,0,0
8711,6540,1,50,13,2217,0,9,0,1,0,0,0,0,0,0,0,0
8789,2998,1,76,18,1759,0,1,0,0,0,0,0,1,0,0,0,0
8791,3139,1,65,9,1938,0,4,0,0,0,0,0,0,1,0,0,0
8797,2484,1,24,15,2466,0,3,0,0,1,0,0,0,0,0,0,0
8865,4623,1,27,19,2786,0,1,0,0,0,0,0,1,0,0,0,0
8889,6308,1,20,29,2519,0,6,0,0,0,1,0,0,0,0,0,0
8910,9626,1,50,17,2402,0,3,0,0,1,0,0,0,0,0,0,0
8926,9180,1,63,18,1534,0,10,0,0,0,0,0,0,0,1,0,0
8954,1846,1,32,10,1499,0,10,0,0,0,0,0,0,0,1,0,0
9022,5487,1,51,18,2329,0,3,0,0,1,0,0,0,0,0,0,0
9057,9228,1,49,23,1619,0,7,1,0,0,0,0,0,0,0,0,0
9116,9613,1,45,3,404,0,2,0,0,0,0,0,0,0,0,0,1
9119,1195,1,20,1,1885,1,6,0,0,0,1,0,0,0,0,0,0
9145,1067,1,21,6,1449,0,1,0,0,0,0,0,1,0,0,0,0
9162,4994,1,19,12,1855,0,10,0,0,0,0,0,0,0,1,0,0
9182,4592,1,60,3,688,0,2,0,0,0,0,0,0,0,0,0,1
9215,8960,1,19,20,2138,0,1,0,0,0,0,0,1,0,0,0,0
9223,1914,1,40,12,2576,0,7,1,0,0,0,0,0,0,0,0,0
9282,10657,1,45,4,1987,0,7,1,0,0,0,0,0,0,0,0,0
9294,796,1,38,5,2074,0,9,0,1,0,0,0,0,0,0,0,0
9332,5958,1,39,22,1592,0,5,0,0,0,0,0,0,0,0,1,0
9423,1831,1,19,17,1497,0,1,0,0,0,0,0,1,0,0,0,0
9491,1831,1,22,17,1732,0,1,0,0,0,0,0,1,0,0,0,0
9541,4212,1,55,30,1858,0,2,0,0,0,0,0,0,0,0,0,1
9550,10122,1,49,4,1843,0,2,0,0,0,0,0,0,0,0,0,1
9562,3767,1,42,23,344,0,1,0,0,0,0,0,1,0,0,0,0
9601,3515,1,50,21,1370,0,8,0,0,0,0,1,0,0,0,0,0
9604,11556,1,31,7,2128,1,9,0,1,0,0,0,0,0,0,0,0
9606,7676,1,53,6,1352,0,7,1,0,0,0,0,0,0,0,0,0
9613,7560,1,20,24,1323,0,5,0,0,0,0,0,0,0,0,1,0
9616,7994,1,50,12,2724,0,5,0,0,0,0,0,0,0,0,1,0
9654,6064,1,50,15,2518,0,3,0,0,1,0,0,0,0,0,0,0
9655,11377,1,36,12,2683,0,9,0,1,0,0,0,0,0,0,0,0
9667,3857,1,35,20,481,0,6,0,0,0,1,0,0,0,0,0,0
9700,269,1,35,5,961,0,1,0,0,0,0,0,1,0,0,0,0
9716,4860,1,56,10,2039,0,3,0,0,1,0,0,0,0,0,0,0
9720,9626,1,22,17,1851,0,3,0,0,1,0,0,0,0,0,0,0
9726,7770,1,31,20,2508,0,1,0,0,0,0,0,1,0,0,0,0
9787,395,1,55,4,1786,0,8,0,0,0,0,1,0,0,0,0,0
9807,1872,1,35,6,2555,0,3,0,0,1,0,0,0,0,0,0,0
9816,10376,1,36,5,3022,0,3,0,0,1,0,0,0,0,0,0,0
9819,7896,1,28,1,1983,1,5,0,0,0,0,0,0,0,0,1,0
9824,10657,1,19,4,1360,0,7,1,0,0,0,0,0,0,0,0,0
9825,3885,1,56,6,2889,0,8,0,0,0,0,1,0,0,0,0,0
9850,8316,1,50,31,2308,0,5,0,0,0,0,0,0,0,0,1,0
9880,9483,1,37,28,2380,0,1,0,0,0,0,0,1,0,0,0,0
9944,11463,1,42,15,2229,0,3,0,0,1,0,0,0,0,0,0,0
9958,3785,1,46,9,2010,0,9,0,1,0,0,0,0,0,0,0,0
9981,3489,1,60,5,447,0,1,0,0,0,0,0,1,0,0,0,0
9983,5966,1,21,22,1393,0,1,0,0,0,0,0,1,0,0,0,0
9994,2389,1,70,6,1856,0,10,0,0,0,0,0,0,0,1,0,0
10002,10421,1,48,18,3229,0,3,0,0,1,0,0,0,0,0,0,0
10065,1776,1,25,9,1545,0,5,0,0,0,0,0,0,0,0,1,0
10076,10685,1,45,9,786,0,1,0,0,0,0,0,1,0,0,0,0
10156,8943,1,27,26,1654,0,2,0,0,0,0,0,0,0,0,0,1
10160,2930,1,20,12,1681,0,9,0,1,0,0,0,0,0,0,0,0
10196,3771,1,40,28,2469,0,1,0,0,0,0,0,1,0,0,0,0
10209,7087,1,50,29,2548,0,6,0,0,0,1,0,0,0,0,0,0
10222,939,1,32,14,1736,0,3,0,0,1,0,0,0,0,0,0,0
10249,9812,1,21,4,2407,0,8,0,0,0,0,1,0,0,0,0,0
